time	V(n002)	I(Rc)	Ib(Q1)
0.000000000000000e+000	6.738998e-003	-6.738998e-006	6.000000e-005
1.497965671920351e-004	7.194509e-003	-2.700611e-006	6.000000e-005
2.995931343840702e-004	7.642508e-003	1.345286e-006	6.000000e-005
4.493897015761054e-004	8.082997e-003	5.398694e-006	6.000000e-005
5.991862687681405e-004	8.515976e-003	9.459612e-006	6.000000e-005
7.489828359601756e-004	8.941444e-003	1.352804e-005	6.000000e-005
8.987794031522108e-004	9.359400e-003	1.760398e-005	6.000000e-005
1.048575970344245e-003	9.769847e-003	2.168743e-005	6.000000e-005
2.025138470344245e-003	1.234752e-002	4.840663e-005	6.000000e-005
3.001700970344245e-003	1.474557e-002	7.530546e-005	6.000000e-005
3.978263470344245e-003	1.696544e-002	1.023825e-004	6.000000e-005
4.954825970344245e-003	1.903193e-002	1.296129e-004	6.000000e-005
6.907950970344245e-003	2.278122e-002	1.844573e-004	6.000000e-005
8.861075970344245e-003	2.611462e-002	2.397177e-004	6.000000e-005
1.179076347034425e-002	3.051392e-002	3.232090e-004	6.000000e-005
1.472045097034425e-002	3.435945e-002	4.072541e-004	6.000000e-005
1.751062954177282e-002	3.752827e-002	4.877906e-004	6.000000e-005
2.030080811320139e-002	4.049651e-002	5.685277e-004	6.000000e-005
2.309098668462997e-002	4.326415e-002	6.494654e-004	6.000000e-005
2.588116525605853e-002	4.583121e-002	7.306037e-004	6.000000e-005
2.867134382748711e-002	4.819768e-002	8.119426e-004	6.000000e-005
3.146152239891568e-002	5.036355e-002	8.934821e-004	6.000000e-005
3.425170097034425e-002	5.232884e-002	9.752222e-004	6.000000e-005
4.025058489891568e-002	5.621363e-002	1.151304e-003	6.000000e-005
4.624946882748711e-002	5.985320e-002	1.327631e-003	6.000000e-005
5.224835275605853e-002	6.324753e-002	1.504203e-003	6.000000e-005
5.824723668462997e-002	6.639665e-002	1.681020e-003	6.000000e-005
6.424612061320140e-002	6.930054e-002	1.858083e-003	6.000000e-005
7.024500454177282e-002	7.195920e-002	2.035391e-003	6.000000e-005
7.624388847034425e-002	7.437263e-002	2.212944e-003	6.000000e-005
8.977625454177282e-002	7.942985e-002	2.613858e-003	6.000000e-005
1.033086206132014e-001	8.425430e-002	3.015004e-003	6.000000e-005
1.168409866846300e-001	8.884600e-002	3.416384e-003	6.000000e-005
1.303733527560586e-001	9.320493e-002	3.817996e-003	6.000000e-005
1.439057188274871e-001	9.733110e-002	4.219840e-003	6.000000e-005
1.574380848989157e-001	1.012245e-001	4.621918e-003	6.000000e-005
1.709704509703443e-001	1.048852e-001	5.024228e-003	6.000000e-005
1.888275938274871e-001	1.095996e-001	5.555228e-003	6.000000e-005
2.066847366846300e-001	1.145402e-001	6.086002e-003	6.000000e-005
2.245418795417729e-001	1.197069e-001	6.616550e-003	6.000000e-005
2.423990223989157e-001	1.250999e-001	7.146871e-003	6.000000e-005
2.602561652560586e-001	1.307190e-001	7.676966e-003	6.000000e-005
2.781133081132015e-001	1.365642e-001	8.206835e-003	6.000000e-005
2.959704509703443e-001	1.426356e-001	8.736478e-003	6.000000e-005
3.043409866846299e-001	1.456236e-001	8.984606e-003	6.000000e-005
3.127115223989157e-001	1.490867e-001	9.232259e-003	6.000000e-005
3.210820581132014e-001	1.530247e-001	9.479437e-003	6.000000e-005
3.294525938274871e-001	1.574378e-001	9.726140e-003	6.000000e-005
3.378231295417729e-001	1.623259e-001	9.972368e-003	6.000000e-005
3.461936652560586e-001	1.676890e-001	1.021812e-002	6.000000e-005
3.545642009703443e-001	1.735271e-001	1.046340e-002	6.000000e-005
3.579124152560586e-001	1.760654e-001	1.056131e-002	6.000000e-005
3.612606295417728e-001	1.791517e-001	1.065867e-002	6.000000e-005
3.646088438274871e-001	1.827860e-001	1.075548e-002	6.000000e-005
3.679570581132014e-001	1.869683e-001	1.085174e-002	6.000000e-005
3.713052723989157e-001	1.916986e-001	1.094746e-002	6.000000e-005
3.746534866846299e-001	1.969769e-001	1.104263e-002	6.000000e-005
3.780017009703443e-001	2.028031e-001	1.113725e-002	6.000000e-005
3.792572813274871e-001	2.052738e-001	1.117244e-002	6.000000e-005
3.805128616846299e-001	2.082553e-001	1.120713e-002	6.000000e-005
3.817684420417728e-001	2.117475e-001	1.124131e-002	6.000000e-005
3.830240223989157e-001	2.157506e-001	1.127497e-002	6.000000e-005
3.842796027560586e-001	2.202645e-001	1.130812e-002	6.000000e-005
3.855351831132014e-001	2.252891e-001	1.134077e-002	6.000000e-005
3.867907634703443e-001	2.308246e-001	1.137290e-002	6.000000e-005
3.887438884703443e-001	2.428015e-001	1.141952e-002	6.000000e-005
3.897204509703443e-001	2.507477e-001	1.144087e-002	6.000000e-005
3.906970134703443e-001	2.606824e-001	1.146023e-002	6.000000e-005
3.916735759703443e-001	2.733237e-001	1.147688e-002	6.000000e-005
3.926501384703443e-001	2.893608e-001	1.149014e-002	6.000000e-005
3.936267009703443e-001	3.090037e-001	1.149980e-002	6.000000e-005
3.946032634703443e-001	3.316630e-001	1.150643e-002	6.000000e-005
3.975329509703443e-001	4.078350e-001	1.151815e-002	6.000000e-005
9.795642009703443e-001	1.606012e+001	1.332681e-002	6.000000e-005
9.990954509703443e-001	1.658537e+001	1.338749e-002	6.000000e-005
1.000000000000000e+000	1.660970e+001	1.339030e-002	6.000000e-005
