time	V(n013)	Ib(Q3)
0.000000000000000e+000	0.000000e+000	2.691181e-032
7.489828359601756e-005	7.489828e-005	1.632738e-011
1.497965671920351e-004	1.497966e-004	2.840309e-011
2.246948507880527e-004	2.246949e-004	3.622712e-011
2.995931343840702e-004	2.995931e-004	3.979947e-011
3.744914179800878e-004	3.744914e-004	3.912016e-011
4.493897015761054e-004	4.493897e-004	3.418917e-011
5.242879851721227e-004	5.242880e-004	2.500650e-011
1.048575970344245e-003	1.048576e-003	2.501301e-011
2.025138470344245e-003	2.025139e-003	2.502517e-011
3.001700970344245e-003	3.001701e-003	2.503735e-011
3.978263470344245e-003	3.978264e-003	2.504957e-011
4.954825970344245e-003	4.954826e-003	2.506183e-011
5.931388470344245e-003	5.931389e-003	2.507412e-011
6.907950970344245e-003	6.907951e-003	2.508645e-011
7.884513470344245e-003	7.884514e-003	2.509882e-011
9.837638470344245e-003	9.837639e-003	2.512366e-011
1.179076347034425e-002	1.179076e-002	2.514867e-011
1.472045097034425e-002	1.472045e-002	2.518650e-011
1.709210275605853e-002	1.709210e-002	2.521737e-011
1.946375454177282e-002	1.946375e-002	2.524857e-011
2.183540632748711e-002	2.183541e-002	2.528009e-011
2.420705811320139e-002	2.420706e-002	2.531194e-011
2.657870989891568e-002	2.657871e-002	2.534412e-011
2.895036168462997e-002	2.895036e-002	2.537662e-011
3.132201347034425e-002	3.132201e-002	2.540945e-011
3.592580811320139e-002	3.592581e-002	2.547359e-011
4.052960275605853e-002	4.052960e-002	2.554027e-011
4.513339739891568e-002	4.513340e-002	2.560951e-011
4.973719204177282e-002	4.973719e-002	2.568129e-011
5.434098668462997e-002	5.434099e-002	2.575562e-011
5.894478132748712e-002	5.894478e-002	2.583250e-011
6.354857597034425e-002	6.354857e-002	2.591192e-011
6.661777239891567e-002	6.661777e-002	2.596713e-011
6.968696882748711e-002	6.968697e-002	2.602511e-011
7.275616525605853e-002	7.275616e-002	2.608587e-011
7.582536168462997e-002	7.582536e-002	2.614940e-011
7.889455811320140e-002	7.889455e-002	2.621572e-011
8.196375454177282e-002	8.196375e-002	2.628481e-011
8.503295097034425e-002	8.503295e-002	2.635667e-011
8.642804025605853e-002	8.642804e-002	2.639087e-011
8.782312954177282e-002	8.782313e-002	2.642608e-011
8.921821882748711e-002	8.921822e-002	2.646228e-011
9.061330811320140e-002	9.061330e-002	2.649948e-011
9.200839739891567e-002	9.200839e-002	2.653768e-011
9.340348668462996e-002	9.340348e-002	2.657688e-011
9.479857597034425e-002	9.479857e-002	2.661707e-011
9.675170097034425e-002	9.675170e-002	2.667555e-011
9.772826347034425e-002	9.772826e-002	2.670574e-011
9.870482597034425e-002	9.870482e-002	2.673656e-011
9.968138847034425e-002	9.968138e-002	2.676806e-011
1.006579509703443e-001	1.006579e-001	2.680026e-011
1.016345134703443e-001	1.016345e-001	2.683319e-011
1.026110759703443e-001	1.026111e-001	2.686688e-011
1.035876384703443e-001	1.035876e-001	2.690134e-011
1.055407634703443e-001	1.055408e-001	2.697272e-011
1.119581741846300e-001	1.119582e-001	2.718246e-011
1.183755848989157e-001	1.183756e-001	2.748695e-011
1.247929956132014e-001	1.247930e-001	2.788619e-011
1.312104063274871e-001	1.312104e-001	2.838019e-011
1.376278170417728e-001	1.376278e-001	2.896894e-011
1.440452277560586e-001	1.440452e-001	2.965245e-011
1.504626384703443e-001	1.504626e-001	3.043072e-011
1.552059420417728e-001	1.552059e-001	3.109209e-011
1.599492456132014e-001	1.599492e-001	3.197721e-011
1.646925491846300e-001	1.646926e-001	3.308608e-011
1.694358527560586e-001	1.694359e-001	3.441870e-011
1.741791563274871e-001	1.741792e-001	3.597508e-011
1.789224598989157e-001	1.789225e-001	3.775521e-011
1.836657634703443e-001	1.836658e-001	3.975909e-011
1.870139777560585e-001	1.870140e-001	4.140877e-011
1.903621920417728e-001	1.903622e-001	4.336752e-011
1.937104063274871e-001	1.937104e-001	4.563535e-011
1.970586206132014e-001	1.970586e-001	4.821227e-011
2.004068348989157e-001	2.004068e-001	5.109826e-011
2.037550491846300e-001	2.037551e-001	5.429334e-011
2.071032634703443e-001	2.071033e-001	5.779750e-011
2.093354063274871e-001	2.093354e-001	6.063913e-011
2.115675491846300e-001	2.115676e-001	6.347495e-011
2.137996920417728e-001	2.137997e-001	6.630497e-011
2.160318348989157e-001	2.160318e-001	6.912918e-011
2.182639777560586e-001	2.182640e-001	7.194759e-011
2.204961206132014e-001	2.204961e-001	7.476018e-011
2.227282634703443e-001	2.227283e-001	7.756697e-011
2.235653170417728e-001	2.235653e-001	7.833458e-011
2.244023706132014e-001	2.244024e-001	7.887818e-011
2.252394241846300e-001	2.252394e-001	7.919776e-011
2.260764777560585e-001	2.260765e-001	7.929332e-011
2.269135313274871e-001	2.269135e-001	7.916487e-011
2.277505848989157e-001	2.277506e-001	7.881240e-011
2.285876384703443e-001	2.285876e-001	7.823591e-011
2.295642009703443e-001	2.295642e-001	7.717754e-011
2.305407634703443e-001	2.305408e-001	7.581293e-011
2.315173259703443e-001	2.315173e-001	7.422306e-011
2.324938884703443e-001	2.324939e-001	7.251714e-011
2.334704509703443e-001	2.334705e-001	7.081871e-011
2.344470134703443e-001	2.344470e-001	6.924786e-011
2.354235759703443e-001	2.354236e-001	6.790460e-011
2.364001384703443e-001	2.364001e-001	6.685787e-011
2.373767009703443e-001	2.373767e-001	6.614227e-011
2.383532634703443e-001	2.383533e-001	6.576156e-011
2.393298259703443e-001	2.393298e-001	6.569655e-011
2.403063884703443e-001	2.403064e-001	6.591411e-011
2.412829509703443e-001	2.412830e-001	6.637511e-011
2.432360759703443e-001	2.432361e-001	6.787487e-011
2.461657634703443e-001	2.461658e-001	7.112331e-011
2.496534866846300e-001	2.496535e-001	7.573683e-011
2.531412098989157e-001	2.531412e-001	8.140736e-011
2.566289331132014e-001	2.566289e-001	8.813488e-011
2.601166563274871e-001	2.601166e-001	9.591941e-011
2.636043795417729e-001	2.636044e-001	1.047609e-010
2.670921027560586e-001	2.670921e-001	1.146594e-010
2.705798259703443e-001	2.705798e-001	1.256150e-010
2.753231295417728e-001	2.753231e-001	1.411628e-010
2.800664331132014e-001	2.800664e-001	1.626324e-010
2.848097366846299e-001	2.848097e-001	1.900239e-010
2.895530402560586e-001	2.895530e-001	2.233372e-010
2.942963438274871e-001	2.942963e-001	2.625723e-010
2.990396473989157e-001	2.990396e-001	3.077293e-010
3.037829509703443e-001	3.037829e-001	3.588082e-010
3.085262545417728e-001	3.085262e-001	4.147224e-010
3.132695581132014e-001	3.132695e-001	4.919956e-010
3.180128616846299e-001	3.180129e-001	5.906280e-010
3.227561652560586e-001	3.227562e-001	7.106194e-010
3.274994688274871e-001	3.274995e-001	8.519699e-010
3.322427723989157e-001	3.322428e-001	1.014680e-009
3.369860759703443e-001	3.369861e-001	1.198748e-009
3.417293795417728e-001	3.417294e-001	1.400265e-009
3.464726831132014e-001	3.464727e-001	1.678875e-009
3.512159866846299e-001	3.512160e-001	2.034576e-009
3.559592902560586e-001	3.559593e-001	2.467370e-009
3.607025938274871e-001	3.607026e-001	2.977255e-009
3.654458973989157e-001	3.654459e-001	3.564233e-009
3.701892009703443e-001	3.701892e-001	4.228303e-009
3.750720134703443e-001	3.750720e-001	4.969692e-009
3.799548259703443e-001	3.799548e-001	6.012276e-009
3.848376384703443e-001	3.848376e-001	7.356053e-009
3.897204509703443e-001	3.897204e-001	9.001025e-009
3.946032634703443e-001	3.946033e-001	1.094719e-008
3.994860759703443e-001	3.994861e-001	1.319455e-008
4.043688884703443e-001	4.043689e-001	1.574310e-008
4.093912098989157e-001	4.093912e-001	1.857203e-008
4.144135313274871e-001	4.144135e-001	2.262107e-008
4.194358527560586e-001	4.194358e-001	2.789022e-008
4.244581741846299e-001	4.244582e-001	3.437947e-008
4.294804956132014e-001	4.294805e-001	4.208884e-008
4.345028170417729e-001	4.345028e-001	5.101831e-008
4.395251384703443e-001	4.395251e-001	6.116789e-008
4.435708973989157e-001	4.435709e-001	7.055525e-008
4.476166563274871e-001	4.476166e-001	8.260194e-008
4.516624152560586e-001	4.516624e-001	9.730796e-008
4.557081741846299e-001	4.557082e-001	1.146733e-007
4.597539331132014e-001	4.597539e-001	1.346980e-007
4.637996920417729e-001	4.637997e-001	1.573820e-007
4.678454509703443e-001	4.678454e-001	1.827253e-007
4.710541563274871e-001	4.710541e-001	2.055623e-007
4.742628616846299e-001	4.742629e-001	2.328153e-007
4.774715670417729e-001	4.774716e-001	2.644845e-007
4.806802723989157e-001	4.806803e-001	3.005698e-007
4.838889777560586e-001	4.838890e-001	3.410711e-007
4.870976831132014e-001	4.870977e-001	3.859886e-007
4.903063884703443e-001	4.903064e-001	4.353221e-007
4.930965670417728e-001	4.930966e-001	4.829783e-007
4.958867456132014e-001	4.958867e-001	5.381164e-007
4.986769241846299e-001	4.986769e-001	6.007366e-007
5.014671027560586e-001	5.014671e-001	6.708388e-007
5.042572813274872e-001	5.042573e-001	7.484229e-007
5.070474598989156e-001	5.070474e-001	8.334891e-007
5.098376384703443e-001	5.098376e-001	9.260372e-007
5.123487991846299e-001	5.123488e-001	1.017544e-006
5.148599598989156e-001	5.148599e-001	1.121423e-006
5.173711206132013e-001	5.173711e-001	1.237674e-006
5.198822813274872e-001	5.198823e-001	1.366297e-006
5.223934420417729e-001	5.223934e-001	1.507292e-006
5.249046027560586e-001	5.249046e-001	1.660659e-006
5.274157634703443e-001	5.274158e-001	1.826398e-006
5.299269241846299e-001	5.299269e-001	2.006825e-006
5.324380848989156e-001	5.324381e-001	2.211612e-006
5.349492456132013e-001	5.349492e-001	2.440759e-006
5.374604063274872e-001	5.374604e-001	2.694266e-006
5.399715670417729e-001	5.399716e-001	2.972132e-006
5.424827277560586e-001	5.424827e-001	3.274358e-006
5.449938884703443e-001	5.449939e-001	3.600945e-006
5.479235759703443e-001	5.479236e-001	4.032089e-006
5.508532634703443e-001	5.508533e-001	4.514764e-006
5.537829509703443e-001	5.537829e-001	5.055103e-006
5.567126384703443e-001	5.567126e-001	5.659967e-006
5.596423259703443e-001	5.596423e-001	6.337023e-006
5.625720134703443e-001	5.625720e-001	7.094844e-006
5.655017009703443e-001	5.655017e-001	7.943004e-006
5.684313884703443e-001	5.684314e-001	8.892202e-006
5.713610759703443e-001	5.713611e-001	9.954382e-006
5.742907634703443e-001	5.742908e-001	1.114288e-005
5.772204509703443e-001	5.772204e-001	1.247258e-005
5.801501384703443e-001	5.801501e-001	1.396008e-005
5.830798259703443e-001	5.830798e-001	1.562389e-005
5.860095134703443e-001	5.860095e-001	1.748462e-005
5.889392009703443e-001	5.889392e-001	1.956525e-005
5.918688884703443e-001	5.918689e-001	2.189134e-005
5.947985759703443e-001	5.947986e-001	2.449130e-005
5.977282634703443e-001	5.977283e-001	2.739671e-005
6.006579509703443e-001	6.006579e-001	3.064266e-005
6.035876384703443e-001	6.035876e-001	3.426800e-005
6.065173259703443e-001	6.065173e-001	3.831582e-005
6.094470134703443e-001	6.094470e-001	4.283377e-005
6.123767009703443e-001	6.123767e-001	4.787448e-005
6.153063884703443e-001	6.153064e-001	5.349603e-005
6.182360759703443e-001	6.182361e-001	5.976235e-005
6.211657634703443e-001	6.211658e-001	6.674370e-005
6.240954509703443e-001	6.240954e-001	7.451711e-005
6.270251384703443e-001	6.270251e-001	8.316687e-005
6.299548259703443e-001	6.299548e-001	9.278493e-005
6.328845134703443e-001	6.328845e-001	1.034713e-004
6.355351831132013e-001	6.355352e-001	1.138963e-004
6.381858527560586e-001	6.381858e-001	1.256200e-004
6.408365223989156e-001	6.408365e-001	1.386424e-004
6.434871920417729e-001	6.434872e-001	1.529634e-004
6.461378616846299e-001	6.461379e-001	1.685831e-004
6.487885313274872e-001	6.487885e-001	1.855015e-004
6.514392009703443e-001	6.514392e-001	2.037186e-004
6.545083973989156e-001	6.545084e-001	2.267132e-004
6.575775938274872e-001	6.575776e-001	2.527055e-004
6.606467902560586e-001	6.606468e-001	2.816955e-004
6.637159866846299e-001	6.637160e-001	3.136832e-004
6.667851831132013e-001	6.667852e-001	3.486686e-004
6.698543795417729e-001	6.698544e-001	3.866517e-004
6.729235759703443e-001	6.729236e-001	4.276325e-004
6.772483527560586e-001	6.772483e-001	4.914342e-004
6.815731295417729e-001	6.815731e-001	5.644786e-004
6.858979063274872e-001	6.858979e-001	6.467657e-004
6.902226831132013e-001	6.902227e-001	7.382955e-004
6.945474598989156e-001	6.945474e-001	8.390679e-004
6.988722366846299e-001	6.988722e-001	9.490831e-004
7.031970134703443e-001	7.031970e-001	1.068341e-003
7.105909866846299e-001	7.105910e-001	1.300796e-003
7.179849598989156e-001	7.179849e-001	1.561096e-003
7.253789331132015e-001	7.253789e-001	1.849238e-003
7.327729063274872e-001	7.327729e-001	2.165225e-003
7.401668795417729e-001	7.401669e-001	2.509055e-003
7.475608527560586e-001	7.475608e-001	2.880729e-003
7.549548259703443e-001	7.549548e-001	3.280247e-003
7.651389777560586e-001	7.651390e-001	3.870176e-003
7.753231295417729e-001	7.753231e-001	4.487276e-003
7.855072813274872e-001	7.855073e-001	5.131547e-003
7.956914331132015e-001	7.956914e-001	5.802989e-003
8.058755848989156e-001	8.058756e-001	6.501602e-003
8.160597366846299e-001	8.160597e-001	7.227386e-003
8.262438884703443e-001	8.262439e-001	7.980340e-003
8.378231295417729e-001	8.378231e-001	8.852476e-003
8.494023706132015e-001	8.494024e-001	9.739088e-003
8.609816116846299e-001	8.609816e-001	1.064018e-002
8.725608527560586e-001	8.725608e-001	1.155574e-002
8.841400938274872e-001	8.841401e-001	1.248578e-002
8.957193348989156e-001	8.957193e-001	1.343029e-002
9.072985759703443e-001	9.072986e-001	1.438928e-002
9.082751384703443e-001	9.082751e-001	1.447027e-002
9.092517009703443e-001	9.092517e-001	1.455133e-002
9.102282634703443e-001	9.102283e-001	1.463246e-002
9.112048259703443e-001	9.112048e-001	1.471366e-002
9.121813884703443e-001	9.121814e-001	1.479492e-002
9.131579509703443e-001	9.131579e-001	1.487625e-002
9.141345134703443e-001	9.141345e-001	1.495764e-002
9.151110759703443e-001	9.151111e-001	1.503910e-002
9.170642009703443e-001	9.170642e-001	1.520220e-002
