time	V(n015)	Ib(Q4)
0.000000000000000e+000	5.994083e-001	5.917568e-007
7.489828359601756e-005	5.994229e-001	5.920920e-007
1.497965671920351e-004	5.994375e-001	5.924274e-007
2.246948507880527e-004	5.994522e-001	5.927630e-007
2.995931343840702e-004	5.994668e-001	5.930989e-007
3.744914179800878e-004	5.994814e-001	5.934350e-007
4.493897015761054e-004	5.994961e-001	5.937713e-007
5.242879851721227e-004	5.995107e-001	5.941079e-007
1.048575970344245e-003	5.996132e-001	5.964700e-007
2.025138470344245e-003	5.998042e-001	6.008922e-007
3.001700970344245e-003	5.999950e-001	6.053426e-007
3.978263470344245e-003	6.001858e-001	6.098253e-007
4.954825970344245e-003	6.003766e-001	6.143405e-007
5.931388470344245e-003	6.005674e-001	6.188882e-007
6.907950970344245e-003	6.007581e-001	6.234688e-007
7.884513470344245e-003	6.009488e-001	6.280825e-007
9.837638470344245e-003	6.013301e-001	6.374102e-007
1.179076347034425e-002	6.017113e-001	6.468730e-007
1.472045097034425e-002	6.022828e-001	6.613247e-007
1.709210275605853e-002	6.027452e-001	6.732450e-007
1.946375454177282e-002	6.032074e-001	6.853837e-007
2.183540632748711e-002	6.036693e-001	6.977409e-007
2.420705811320139e-002	6.041311e-001	7.103166e-007
2.657870989891568e-002	6.045926e-001	7.231108e-007
2.895036168462997e-002	6.050540e-001	7.361235e-007
3.132201347034425e-002	6.055151e-001	7.493546e-007
3.592580811320139e-002	6.064095e-001	7.756450e-007
4.052960275605853e-002	6.073030e-001	8.029094e-007
4.513339739891568e-002	6.081956e-001	8.311477e-007
4.973719204177282e-002	6.090871e-001	8.603601e-007
5.434098668462997e-002	6.099777e-001	8.905464e-007
5.894478132748712e-002	6.108672e-001	9.217067e-007
6.354857597034425e-002	6.117558e-001	9.538410e-007
6.661777239891567e-002	6.123477e-001	9.758895e-007
6.968696882748711e-002	6.129390e-001	9.984557e-007
7.275616525605853e-002	6.135297e-001	1.021540e-006
7.582536168462997e-002	6.141200e-001	1.045141e-006
7.889455811320140e-002	6.147097e-001	1.069260e-006
