time	V(n003)	V(n005)	V(n006)	I(R3)	Ib(Q5)
0.000000000000000e+000	2.399693e+001	5.000000e-001	4.999876e-001	3.068027e-006	1.239848e-008
4.893100138620608e-003	2.399664e+001	5.024465e-001	5.024329e-001	3.363623e-006	1.360412e-008
9.786200277241216e-003	2.399630e+001	5.048931e-001	5.048781e-001	3.697699e-006	1.496372e-008
1.467930041586182e-002	2.399593e+001	5.073396e-001	5.073232e-001	4.070255e-006	1.647728e-008
1.957240055448243e-002	2.399552e+001	5.097862e-001	5.097681e-001	4.481291e-006	1.814479e-008
2.446550069310304e-002	2.399507e+001	5.122327e-001	5.122128e-001	4.930807e-006	1.996626e-008
2.935860083172365e-002	2.399458e+001	5.146793e-001	5.146574e-001	5.418803e-006	2.194168e-008
3.425170097034425e-002	2.399405e+001	5.171258e-001	5.171018e-001	5.945279e-006	2.407105e-008
3.899500454177282e-002	2.399350e+001	5.194975e-001	5.194712e-001	6.500318e-006	2.631929e-008
4.373830811320139e-002	2.399288e+001	5.218691e-001	5.218403e-001	7.124563e-006	2.884798e-008
4.848161168462997e-002	2.399218e+001	5.242408e-001	5.242092e-001	7.818012e-006	3.165715e-008
5.322491525605853e-002	2.399142e+001	5.266125e-001	5.265777e-001	8.580666e-006	3.474677e-008
5.796821882748711e-002	2.399059e+001	5.289841e-001	5.289460e-001	9.412524e-006	3.811686e-008
6.271152239891568e-002	2.398969e+001	5.313558e-001	5.313140e-001	1.031359e-005	4.176742e-008
6.745482597034425e-002	2.398872e+001	5.337274e-001	5.336817e-001	1.128386e-005	4.569843e-008
7.219812954177282e-002	2.398766e+001	5.360991e-001	5.360491e-001	1.233644e-005	4.996302e-008
7.694143311320140e-002	2.398648e+001	5.384707e-001	5.384159e-001	1.351980e-005	5.475783e-008
8.168473668462997e-002	2.398517e+001	5.408424e-001	5.407823e-001	1.483393e-005	6.008285e-008
8.642804025605853e-002	2.398372e+001	5.432140e-001	5.431481e-001	1.627883e-005	6.593809e-008
