time	Vin	Vbe	Ib
0.000000000000000e+000	0.000000e+000	1.399585e-031	-1.399585e-034
7.489828359601756e-005	7.489828e-005	7.488196e-005	1.632531e-011
1.497965671920351e-004	1.497966e-004	1.497682e-004	2.839963e-011
2.246948507880527e-004	2.246949e-004	2.246586e-004	3.622297e-011
2.995931343840702e-004	2.995931e-004	2.995533e-004	3.979532e-011
3.744914179800878e-004	3.744914e-004	3.744523e-004	3.911670e-011
4.493897015761054e-004	4.493897e-004	4.493555e-004	3.418709e-011
5.242879851721227e-004	5.242880e-004	5.242630e-004	2.500650e-011
1.048575970344245e-003	1.048576e-003	1.048551e-003	2.501301e-011
2.025138470344245e-003	2.025139e-003	2.025113e-003	2.502517e-011
3.001700970344245e-003	3.001701e-003	3.001676e-003	2.503735e-011
3.978263470344245e-003	3.978264e-003	3.978238e-003	2.504957e-011
4.954825970344245e-003	4.954826e-003	4.954801e-003	2.506183e-011
5.931388470344245e-003	5.931389e-003	5.931363e-003	2.507412e-011
6.907950970344245e-003	6.907951e-003	6.907926e-003	2.508645e-011
7.884513470344245e-003	7.884514e-003	7.884488e-003	2.509882e-011
9.837638470344245e-003	9.837639e-003	9.837613e-003	2.512366e-011
1.179076347034425e-002	1.179076e-002	1.179074e-002	2.514867e-011
1.472045097034425e-002	1.472045e-002	1.472043e-002	2.518650e-011
1.709210275605853e-002	1.709210e-002	1.709208e-002	2.521737e-011
1.946375454177282e-002	1.946375e-002	1.946373e-002	2.524857e-011
2.183540632748711e-002	2.183541e-002	2.183538e-002	2.528009e-011
2.420705811320139e-002	2.420706e-002	2.420703e-002	2.531194e-011
2.657870989891568e-002	2.657871e-002	2.657868e-002	2.534412e-011
2.895036168462997e-002	2.895036e-002	2.895034e-002	2.537662e-011
3.132201347034425e-002	3.132201e-002	3.132199e-002	2.540945e-011
3.592580811320139e-002	3.592581e-002	3.592578e-002	2.547359e-011
4.052960275605853e-002	4.052960e-002	4.052958e-002	2.554027e-011
4.513339739891568e-002	4.513340e-002	4.513337e-002	2.560951e-011
4.973719204177282e-002	4.973719e-002	4.973717e-002	2.568129e-011
5.434098668462997e-002	5.434099e-002	5.434096e-002	2.575562e-011
5.894478132748712e-002	5.894478e-002	5.894476e-002	2.583250e-011
6.354857597034425e-002	6.354857e-002	6.354855e-002	2.591192e-011
6.661777239891567e-002	6.661777e-002	6.661775e-002	2.596712e-011
6.968696882748711e-002	6.968697e-002	6.968694e-002	2.602511e-011
7.275616525605853e-002	7.275616e-002	7.275614e-002	2.608587e-011
7.582536168462997e-002	7.582536e-002	7.582534e-002	2.614940e-011
7.889455811320140e-002	7.889455e-002	7.889453e-002	2.621571e-011
8.196375454177282e-002	8.196375e-002	8.196373e-002	2.628480e-011
8.503295097034425e-002	8.503295e-002	8.503293e-002	2.635667e-011
8.642804025605853e-002	8.642804e-002	8.642801e-002	2.639087e-011
8.782312954177282e-002	8.782313e-002	8.782310e-002	2.642608e-011
8.921821882748711e-002	8.921822e-002	8.921819e-002	2.646228e-011
9.061330811320140e-002	9.061330e-002	9.061328e-002	2.649948e-011
9.200839739891567e-002	9.200839e-002	9.200837e-002	2.653768e-011
9.340348668462996e-002	9.340348e-002	9.340346e-002	2.657688e-011
9.479857597034425e-002	9.479857e-002	9.479855e-002	2.661707e-011
9.675170097034425e-002	9.675170e-002	9.675168e-002	2.667555e-011
9.772826347034425e-002	9.772826e-002	9.772824e-002	2.670574e-011
9.870482597034425e-002	9.870482e-002	9.870480e-002	2.673656e-011
9.968138847034425e-002	9.968138e-002	9.968136e-002	2.676806e-011
1.006579509703443e-001	1.006579e-001	1.006579e-001	2.680026e-011
1.016345134703443e-001	1.016345e-001	1.016345e-001	2.683319e-011
1.026110759703443e-001	1.026111e-001	1.026111e-001	2.686688e-011
1.035876384703443e-001	1.035876e-001	1.035876e-001	2.690134e-011
1.055407634703443e-001	1.055408e-001	1.055407e-001	2.697272e-011
1.126557188274871e-001	1.126557e-001	1.126557e-001	2.718818e-011
1.197706741846300e-001	1.197707e-001	1.197706e-001	2.753353e-011
1.268856295417728e-001	1.268856e-001	1.268856e-001	2.800878e-011
1.340005848989157e-001	1.340006e-001	1.340006e-001	2.861393e-011
1.411155402560586e-001	1.411155e-001	1.411155e-001	2.934897e-011
1.482304956132014e-001	1.482305e-001	1.482305e-001	3.021391e-011
1.553454509703443e-001	1.553455e-001	1.553454e-001	3.120874e-011
1.598097366846300e-001	1.598097e-001	1.598097e-001	3.195773e-011
1.642740223989157e-001	1.642740e-001	1.642740e-001	3.293578e-011
1.687383081132014e-001	1.687383e-001	1.687383e-001	3.414289e-011
1.732025938274871e-001	1.732026e-001	1.732026e-001	3.557906e-011
1.776668795417728e-001	1.776669e-001	1.776668e-001	3.724430e-011
1.821311652560586e-001	1.821312e-001	1.821311e-001	3.913860e-011
1.865954509703443e-001	1.865955e-001	1.865954e-001	4.126196e-011
1.898041563274871e-001	1.898042e-001	1.898041e-001	4.303452e-011
1.930128616846300e-001	1.930129e-001	1.930128e-001	4.511212e-011
1.962215670417728e-001	1.962216e-001	1.962215e-001	4.749475e-011
1.994302723989157e-001	1.994303e-001	1.994302e-001	5.018242e-011
2.026389777560586e-001	2.026390e-001	2.026389e-001	5.317512e-011
2.058476831132014e-001	2.058477e-001	2.058476e-001	5.647286e-011
2.090563884703443e-001	2.090564e-001	2.090563e-001	6.007563e-011
2.110095134703443e-001	2.110095e-001	2.110095e-001	6.268175e-011
2.129626384703443e-001	2.129626e-001	2.129626e-001	6.525208e-011
2.149157634703443e-001	2.149158e-001	2.149157e-001	6.778662e-011
2.168688884703443e-001	2.168689e-001	2.168688e-001	7.028536e-011
2.188220134703443e-001	2.188220e-001	2.188219e-001	7.274831e-011
2.207751384703443e-001	2.207751e-001	2.207751e-001	7.517546e-011
2.227282634703443e-001	2.227283e-001	2.227282e-001	7.756683e-011
2.235653170417728e-001	2.235653e-001	2.235652e-001	7.833446e-011
2.244023706132014e-001	2.244024e-001	2.244023e-001	7.887807e-011
2.252394241846300e-001	2.252394e-001	2.252393e-001	7.919767e-011
2.260764777560585e-001	2.260765e-001	2.260764e-001	7.929326e-011
2.269135313274871e-001	2.269135e-001	2.269134e-001	7.916483e-011
2.277505848989157e-001	2.277506e-001	2.277505e-001	7.881239e-011
